,comment,like,time,title_list
50,근데 실제로 16년도까진 페이커가 솔로 캐리형 선수였고 17년도까지도 그랬는데 그때는 솔로 캐리로는 우승할 수 없는 환경이 됨그 뒤로 쭉 죽쑤다가 팀플레이의 정점에 이른 작년이랑 올해에 드디어 다시 결승에 오르게 됨,44,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
51, @l_1_1  18년도 딱 1년 부진 했지 뭘 쭉 죽쒔냐 월즈 못간 20년도에도 우승 한번 했구만 ㅋㅋㅋㅋ 그렇게 따지면 쵸비 같은 애들은 프로 때려쳐야겠네 88848이니까,4,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
52,Opposite of league solo queue why can't players be like faker unselfish and willing to give up that solo carry role for the win,1,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
53,매번 악역만 되다가 온 국민들의 응원을 받아본건 티원팬으로서 너무 값진 경험이었습니다. 감사합니다 잊지않을게요,152,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
54,와 보는데 눈물이 주륵주륵 난다..양팀 모두 이길 자격은 충분하다고 생각해요 T1 WBG 두팀 모두 화이팅 하시길 바랍니다,123,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
55,웨어강 웨어강 웨어강 웨어강 웨어강,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
56,그거 늙어서 그런거,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
57,Faker: The third trophy was for myself. The fourth trophy... is for my teammates.This f*** line just hits hard on how Faker has grown. I'll literally cry either if they win or lose.,2.2K,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
58,"15 years later:""The 11th trophy was for my aunt, the 12th is for my barber""",379,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
59, @angulinhiduje6093   BRO ,18,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
60, @angulinhiduje6093  Give me back my emotion,72,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
61," @angulinhiduje6093  holy sh** hahahahhaha, how to ruin a moment in miliseconds",15,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
62,"The teaser is really nice ngl, very nice narrative",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
63," @angulinhiduje6093 considering Faker has a military exception, it can happen in the near future",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
64,,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
65,"faker: I never played for Bang, Wolf",11,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
66, @angulinhiduje6093 ahaha,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
67, @angulinhiduje6093   lol,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
68,"I keep re-watching this teaser and it's incredibly well madeI think this functions so well as a representation of our sport, compared to some of the other styles we've tried. I think the teams having stare downs and striking tough poses at each other isn't always our best look, it works when there's conflict between teams or individual players but I think this is where we shine. True passion, the fact that these players live and breathe the game and every opportunity might be their last one for years. Absolutely marvelously done and hope to see more like it",12,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
69,"This is the best Worlds Finals teaser. Whoever wrote, direct, and edit this vid deserves a raise. Congrats to T1 and Weibo!",61,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
70,5:01 That transition was sick af. Crazy how much Faker has matured since 2017. LET'S GO T1 !!!,72,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
71,"I only watch Faker and T1 games since 2013. I keep cheering for them every time I watch them play live. Last year world final was the most heartbreaking moment for me. My mood was down for weeks. But this time, witnessing Faker and T1 winning worlds and lifting championship trophy is legendary. I’m so happy for Faker, to the team, and to all of us true T1 funs this is for all of us. Cheers to T1 and especially to Faker!",57,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
72,Faker and T1 has been the main antagonist up until the semifinal teaser and now it turns out he's the main protagonist in this series. I'm so happy they win. Faker securing his 4th summoner trophy feels like Messi winning WC to me. Congrats again Faker and T1.,102,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
73,what a plot twist,1,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
74,THIS IS BECOMING ONE OF THE MOST ANTICIPATED FINALS IN LOL HISTORY. BEST OF LUCK FOR BOTH TEAMS!! MAKE US A BANGER SERIES,2.2K,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
75,T1  Fight!,7,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
76,Anticipated finals was T1 vs JDG,30,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
77,T1 finals chokers ,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
78,"T1 vô địch, 3-0 cho t1, fan t1 và fan đội đánh với wbg điểm danh nàoooo",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
79, @ndnd7614   Choked vs LCK team but not vs LPL,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
80, @TristanaFlamenguista No,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
81,basically as long T1 Faker in finals it became anticipated,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
82,Honestly I don't expect a banger series. This will be a quick 3-0. WBG aren't DRX in a meta basically designed for their midlaner 2 trick pony being forged in back-to-back-to-back tough series. WBG had the easiest path to finals ever and they still almost fumbled vs a team T1 only lost a single turret to. The real finals was T1 vs JDG.,8,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
83, @daniel-ur7jg  These comparisons just don't work as tournament goes on. You probably haven't watched league previous years.,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
84,"This might be the greatest season and Worlds run imo, LPL was destined to takeover this year since all LCK teams were out except for 1, then T1 cleans out the entire LPL teams, BLG in swiss, LNG in quatarfinals, ADG in semifinals and WBG in the finals. Beautiful story writing and teasers made this season unforgettable and Faker gets his 4th championship, making him the only player in LoL history to have that amount.",79,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
85,우리 팀을 위한 것이라는 말...너무 감동적임...제오페구케 올해가 마지막일거라는 말이 정말 많이 나왔었는데...올해가 마지막이든 아니든 올해 끝에 정말 좋은 결과가 있었으면 좋겠고...웨이보 티원 개개인의 경쟁이 아닌 하나의 팀으로써 두 팀의 멋진 경쟁 구도 (스크립트라고 해도 뭐...괜찮아) 너무 멋져요ㅠㅠ 오늘 두팀다 정말 좋은 경기 보여줬으면 좋겠습니다 ㅠㅠ 화이팅!!!+) 마지막 장면에 이무기 좀...무서울지도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,192,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
86,쭉가자ㅠ 찢어지면 슬플거 같다ㅠ,7,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
87,울컥했다..,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
88,승천해서 2년 더 함께하길,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
89,제오페구케중에 누구 이적설 뜨고있음?,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
