,comment,like,time,title_list
515,T1 a ganar ,17,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
516,믿습니다 T1!!!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
517,There is only one GOAT and he's sit on his lofty throne ,4,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
518,이무기혁 폼 미쳤다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
519,4th trophy is for my teammates and holding the picture of them. I cried ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
520,LETS GOOO T1!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
521,go t1,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
522,"I was going to watch the replay tomorrow morning, now I decided to stay up all night to watch the final",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
523,RAISE THE SALARIES OF THE EDITORS ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
524,lets go t1 <3,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
525,"If this is the last year for this T1 roster, Faker gave them the best farewell gift",0,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
526,LETS GET THIS BREAD T1!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
527,"Just let the South Korean team handle any future promo work for anything competitive league, holyshit I have not been this hyped for worlds in AGES!",4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
528,올해 티저는 작년과 더불어좋았는데4강 티저는 역대 최고였습니다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
529,"Overpowered in every aspects. Wishing good luck to both teams, but but My heart and mind will cheer for T1 in every moment no matter if they win or lose. Time to become legends one more time and The grind the glory.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
530,"""The third trophy was for myself. The fourth trophy is for my teammates."" ",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
531,LETS GO T1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
532,04:57 에서 진짜 울컥했다 제발 티원화이팅이다아아아ㅏ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
533,작년 서사의 종점을 찍자 T1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
534,Lets go T1.,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
535,nah lol esports deserves an oscar for all the worlds teasers this yr it’s insane ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
536,티원 제발 우승 ...!!!!제발 화이팅 !!!!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
537,"""When the dust settles, history will only remember the victors""",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
538,수능 끝나자마자 달려왔습니다 대상혁님 힘내시고 제 기량 충분히 발휘하시길!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
539,T1 is this year's champion ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
540,the 3rd trophy is for myself. the 4th trophy is for my teammates ,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
541,"IN T1 I BELIEVE, THEY PERFECTLY FIT THE THE GRIND, THE GLORY after losing Semifinals, Finals in the last two worlds. LETS GO T1, THE GOD THUNDER WILL STRIKE THEM ALL",0,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
542,"Faker - “the third trophy for myself, the fourth trophy is for my teammates.” ",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
543,"if worlds 22 is to close out Deft chapter, it was the path way for Fakers legacy in 2023. When you fight for your team instead of yourself, that’s when your full potential will be unleashed! Handing over the baton over to the next Generation that’s your destiny Faker! Now go fulfil your destiny! T1 Fighting !!!!",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
544,They become Legends and guess what? LEGENDS NEVER DIE. Huh? Not bad series after Arcane.,3,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
545,재계약 보고 보니까 또 감동이 ,0,10 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
546,T1 will make it. I just know it,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
547,"Man, this can be a tease to a whole 11-part documentary.",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
548,개소름이다 4번째 우승은 팀을 위한겁니다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
549,T1 fighting !,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
550,"5:02 Couldnt have scripted it better... Faker smiles (esp getting reminded about 2017 in the semi trailer) as he's backed up by his younger brothers just like in the game, it wasnt ego but the synergy of the entire team that made it so difficult for their opponents to react.",6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
551,T1 우승 가보자고!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
552,LETSSSGOOOOO!! T1!!!! ,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
553,팀을 위한 우승 페이커가 활짝 웃으며 우승컵을 들기를 바랍니다! 우승 기원 정권지르기 흐라아아압!!!!!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
554,How Weibo became a strong team웨이보는 어떻게 강팀이 되었는가,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
555,T1 FIGHTING!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
556,티저 진짜 잘뽑는다 아니 매번 소름끼치네,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
557,I GOT GOOSEBUMPS ALL OVER MY BODY BRO,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
558,The one and onlyFaker vs TheShy.The final grind for Glory,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
559,Semis tease great but love how faker didicates this finals for his team,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
560,I have this weird feeling crisp is going to pop off this series,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
561,Fighting!T1!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
562,How did WBG become a strong team?,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
563,Love T1 Love Faker Love League Of Legends! <3,1,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
564,"THE T1's FINALS CURSE VS LPL'S CURSE ON NOT BEING ABLE TO BEAT T1/Faker IN A BO5 AT WORLDS, ITS GONNA BE A BANGER FR",8,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
565,who will be the one to outcome that curse? i’ll go for T1. this roster’s deserves so much this trophy. TATAKAE. FIGHTING T1 until the end,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
566, @markangelobalquero7342 whoever wins deserve the trophy. Regardless I hope they will give us a banger series.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
567,The Insurmountable Mountain. The Insuperable River. The Undisputed. Unrivalled. Unkillable Demon King returned when we needed him the most. Hail to the King!!! ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
568,Soo hyped for this,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
569,0:21 I need a full version of this ,3,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
570,Faker and TheShy facing each other down in the thumbnail is,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
571,4:54 END GAME VIBE,0,3 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
572,"  전국에 T1 팬들 부두술 해지령  1주일동안 선행하며 부두술 한 티원팬들 모두 고생했다우리 T1 우승컵 들어 올릴수 있도록 온힘 다해 응원하자거리응원도,고척응원도,cgv응원도,집관러들 외치자",6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
573,너 첩자야? 계속 의심해,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
574,"웨이보가 이길 것 같습니다. 쉽게 생각하면 답이 나오는 문제죠. 작년 DRX도 4시드부터 승리를 하여 올라왔고, 그건 엄청난 이점이 있습니다. 자신감이 남다르죠. T1은 결승에서 매우 못하는 걸로 유명한 팀입니다. 승리는 결국 더 샤이가 가져갈 거 같네요.",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
575,ㅋㅋ 가져가 보세요~,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
576,이것도 부두술인가 ㅋㅋㅋㅋㅋ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
577,drx랑 웨이보랑 같다고 생각하냐? ㅋㅋㅋㅋ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
578,"after Faker tears since 2017 and Keria tears last year, 4:53  scene realy warm my heart",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
579,Go T1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
580,롤1도 모르는데도 팀 서사를 아니까 겁나 긴장되네,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
581,T1 SOLDIER REPORTING FOR DUTY ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
582,Faker being wholesome for his kids.,5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
583,티원 할 수 있다 우승하자!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
584,una palabra .. EPICO,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
585,T1 fighting!! Faker fighting!!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
586,Vamoosssss lossss T1!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
587,Let's go TheShy!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
588,Let's get it SKT T1 ,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
589,faker選手がまた歴史を使うと信じています。,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
590,"I started to support t1 as faker's fan but now I love all of 5 members and can't imagine t1 without them, I really wanna see them win today and cry with happiness and also hope to see them stay together  next year",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
591,"T1, let’s become a dragon and fly.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
592,E-spor'un yaşayan efsanesi T1,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
593,T1  need to end the glory of this roster with a win ............. i want them to win so bad lets go T1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
594,WOOOO GO T1,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
595,티저영상 심장이 뛰네 영상 감독 누구야! 아주 칭찬해,1,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
596,와 진짜 잘뽑앗다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
597,"for someone who doesn;t play this game, but this video is perfect.",0,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
598,Goosebumps everywhere!,0,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
599,LET'S GO T1LET'S GO FAKERT1 FIGHTING!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
600,LNG 3-0BLG 3-1JDG 3-1WBG 3-0  ,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
601,4강 T1 vs JDG 티저 포스가 너무 강력해서 그에는 못미치지만 잘 봤습니다.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
602,진짜 역대급 티저네,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
603,T1!!! Lets go T1!!!!!!!!!!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
604,hands down best teaser of all worlds,1,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
605,가자! 티원! 간절히 바란다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
606,I just realized Theshy said 1ST and 2ND trophy while Faker said 3RD and 4TH trophy. Nice touch on making the script,8,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
607,"god wants its throne back , congrats T1 and co.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
608,제오페구케 안돼...제발 제밯제발 우승해서 조금만 더 보자,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
609,티져 ㅈㄴ 잘뽑네 진짜,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
610,2023 왕좌의 주인은 누가 될 것인가 T1화이팅!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
611,since the bot lane and faker firing on all cylinders means it should be a nice win for T1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
612,"That piano cover of GODS is insane, is there a full version of it?",4,3 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
613,Who let the content producer COOK???? Man the content this worlds has been insanely good,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
614,️  제오페구케 고마워우승 너무 축하해,1,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
615,Can't hold my tears Good luck faker,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
616,페이커 선수 이미 goat이지만 오늘도 우승해서 롤의 신이 되어주세요 응원합니다 화이팅,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
617,가자 티원 !!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
618,그냥 이번 롤드컵 티저들은 영화를 만들어놨네..,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
619,This is edited so well!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
620,"seloco, foda dms!",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
621,T1 Fighting 🫶🫶🫶,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
622,5:20 this sounds like a russian commissar in Call Of Duty World at War but this is the best teaser Ive ever seen. I hope T1 will get their 4th trophy.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
623,I am gonna be so sad if T1 just does the T1 thing and chokes on air for absolutely no reason,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
624,RIOT PLEASE MAKE A DOCUMENTARY MOVIE FOR FAKER ALREADY HES NO DOUBT THE FACE OF LOL AT THIS POINTALL HAIL THE UNKILLABLE DEMON KING,7,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
625,페이커가 동생들 볼때 진짜 눈물 난다.. 웨어강.. 웨어강…,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
626,티저 진짜 잘뽑았네,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
627,T1 fighting！！！！,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
628,역대급이다.. 경기도 티저도..,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
629,가자 티원!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
630,Best Teaser of All Time!!,3,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
631,TheShy deserves the trophy as well tho ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
632,"When Thanos said ""I am inevitable"" it is because Faker allowed him to.",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
633,And there still people who hate him wtf? How can you hate this man?,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
634,T1 TAKES ON THE WHOLE LPL LETSGO T1WIN T1FIGHTING,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
635,T1 is back. ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
636,Can I get this year's tease video production team to be my wingman? I feel like I can finally get laid if they hype me up too.,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
637,"Solid T1 Fan here ever since I started (2014 or '15, I think?) however, TheShy's line in 4:20 is giving me an anxiety for T1s road.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
638,"This teaser doesnt quite get me in the feels that the semi-final one did... Usually they are very good with teasers, but this one just missed a little.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
639,hard to beat such a crazy semi final teaser tho. that had so much rivalry vibes in it. this one was more of camaraderie and acceptance of whatever happens.,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
640,ggwp for both of them,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
641,제오페구케의 티원이 드디어 무르익었다...,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
642,Goosebumps,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
643,"FAKER , THE LIVING LEGEND",9,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
644,"larga vida a t1,larga vida a faker y larga vida a la cuarta del rey demoniofaker campeón 2023 ",0,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
645,애들아 꼭 우리 한발자국 더 나아가서 티원에 남아주면 안될까? 너희 이렇게 많이 좋아하고 아끼는 팬들이 이리 많은데 팬들 놔두고 어디가지마 집밖은 춥잖아ㅠ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
646,티원 전설이 되었구나,1,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
647,My wish is to watch the 2024 World Championship theme song written in T1's Story.It would be a movie.,0,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
648,Lets go t1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
649,FAKER : the 4th trophy is for my teammates ,6,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
650,One last chance! It's T1's final Run with this roster...,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
651,그래 상혁아 팀을 위한다면 오늘 오너 목줄 꽉 쥐고 게임 끝날때까지 놓지마 제발 ㅜ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
652,T1ファンボの日本人集合！全員で団結するぞ！！,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
653,"If Faker has a million fans I am one of them. If Faker has ten fans I am one of them. If Faker has no fans, that means I am no more on the earth. If the World is against Faker, I am against the World. I love Faker till my last breath.",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
654,До мурашек,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
655,"It’s not lck vs lpl, ITS T1 VS LPL",3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
656,"""단 한팀 만이 신(GODS)이 됩니다.""",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
657,오늘은 티원이 전설이 되는날이다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
658,We need game 5 if anyteam win,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
659,웨이보는 어떻게 강팀이 되었는가,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
660,T1加油,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
661,Man I'm not ready for Fakers retirement,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
662,at least he won't retire next year,0,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
663,Maybe 2 more years will play,0,3 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
664,I hope T1 don't choke man,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
665,"If T1 loses, I cryIf T1 wins, I cry",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
666,OK WTF WHOEVER DIRECTED AND EDITED THIS DESERVES 100000000000X BONUS SALARYLIKEWTF,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
667,Let's go Faker!!!Let's go T1!!!!!제오페구케 가보자고!!!!!!!!!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
668,권능을 보여줘!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
669,This teaser is LEGENDARY,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
670,absolutely supermaster piece,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
671,오늘 결승전이 너무 쉽게끝나서 아쉽다 더샤이가 제대로된 컨디션 못보여준게 아쉽네... 기대했는데 그래도 한국에서 열리는 무대에서 좋았음,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
672,T1 FIGHTING,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
673,WTF? HOW DID I ENDED UP CRYING IN THE LAST PART?,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
674,Let go t1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
675,Can we get that piano rendition of Gods its actually so nice,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
676,티원 제발 이겨줘 ㅠㅠㅠ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
677,instead of hearing ''heart unbreakable'' i heard '' we are unbreakable'' anyone heard the same? that sent more chills to my spine than the original lyrics.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
678,T1 행복하자 너희는 그럴 자격이 있다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
679,FAKER STAY STANDING.T1 STAY STANDING.티원 승리하자,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
680,티원 화이팅!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
681,I cannot wait for the next worlds theme music video,6,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
682,God faker mode mv,0,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
683," @jisooblack8314 For sure, knowing Kkoma is back too",0,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
684,아 더 샤이도 응원하게 되네 시바 ㅜㅠ티저 존나 감동이다잉,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
685,"""The fourth trophy is ... for you, for all of us "" Faker didn't said this",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
686,T1 FIGHTING,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
687,"Freaking Dam.. 4:41 The third Trophy, WAs for myselfThe fourth trophy (picks up a picture with all of them) is for my teammates",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
688,The 3rd trophy was for myself but the 4th trophy is for my teammates sheeesh ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
689,T1!!! Clean sweeeppp babyyyyy!!!,5,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
690,I'm so sorry TheShy you are extremely good but T1 will lift the trophy this year,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
691,와 소름 돋게 잘 만들었네,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
692,I LOVE YOU FAKER MY GLORIOUS KING YOU CAN DO THIS!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
693,I'm just Crying   LETSSSSS GOOOO FOURTH TITLE T1 ABOVE ALL ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
694,웨이보는 어떻게 강팀이 되었나,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
695,That faker line I'll print and hang in my living room,4,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
696,Goosebumps,1,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
697,"""It's not LPL versus LCK, it's T1 versus the LPL and they like those odds.""",1,1 day ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
698,트레일러 미쳤다...,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
