,comment,like,time,title_list
95,저도 가끔 먹던 집이라 신기해요,2,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
96,나주곰탕 체인접 아닌가요...? 광화문 나주곰탕도 동동주 무한리필까지 똑같앗던거 같은데,4,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
97," @starbuckscoffee5720 거기랑 구로 딱 두 지점있고, 구로는 직영점이라  프차5지점  미만이라서 간걸거예요 ㅎㅎ",0,16 hours ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
98,나중에 파주도 와주세요 ㅎㅎㅎ 대형카페만 가득한 곳이라 구디단보다 더 어려운 난이도 경험하실 것 같아요 ㅎㅎㅎ...,63,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
99,"제발 천안,아산 와주세요!! sns에만 올라오는 맛집 이제 식상합니다… 찐 로컬 맛집 풍자 누나가 와서 찾아주세요!제발이요",34,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
100,먹는 입모양이진짜 넘 맛나보임식당허가 받을때 당당함은개 아름다움 ,81,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
101,발산역도 제발 와주세요!!! 카페 옆에 카페...카페 망하면 또 카페....그리고 회식위주의 맛집이 너무 많거나 비싸고 맛없거나 하는 집이 진짜 많아요ㅠㅠㅠ직장인 점심 맛집이 없습니다,53,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
102,발산 맛집 없음 인정ㅠㅠ,6,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
103,발산역 맛집 홍박식당 가보세요 점심시간에 직장인 분들 위한 메뉴 매일 마다 다르게 나와여 무엇보다 가성비갑,0,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
104, @user-nb1ur8gg3v  종종 가는데 가성비 있고 빠르게 나오지만 엄청 맛집까지는ㅠㅠㅠ..,0,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
105,옥소반...!!,0,1 day ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
106,낭만부대찌개 더 유명해지면 안되는데 ㅠㅠㅠㅠㅠㅠ 낭만부대찌개 점심엔 찌개만 하시는데 저녁에 부대볶음 안주로 짱이고 지인들도 또 먹고싶다고 매번 찾아오는 수준... 부대볶음이 진짜입니다낭만부대찌개 건물에 흑백집도 프차 아닌거로 알고 있는데(프차 맞네요..! 금천구에도 있대용)사람들 줄서구요 진짜 맛있습니다...중국집 량도 진짜 맛있고 목요일에 나오는 고기짬뽕먹으러 줄서서 먹어요..,138,6 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
107,이 분 최소 대륭1차 직장인 .. 저랑 맛집 리스트가 동일하시네요 ..,10,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
108,홍주식당 인정,3,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
109, @user-bo6jl8si7d  ㅎㅎㅎㅎ 근처 맞아요! ㅋㅋㅋ,1,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
110, @noisettecream1522  홍주식당 진짜맛있죠,0,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
111,저도 구디 사는 사람으로써....맛집 쌉인정 합니다...왜 나는 그날 노원에 있었는가...저랑 글쓴이님이랑 같이 풍자님을 만났어야 했는데..ㅠㅠ,1,3 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
